Occupations
Accountant
Acupuncturist
Aerobic Instructor
Aeronautical Engineer
Air Traffic Controller
Ambulance Driver
Anaesthetist
Analyst
Analytical Chemist
Animal Breeder
Anthropologist
Antique Dealer
Archaeologist
Architect
Archivist
Aromatherapist
Art Critic
Art Dealer
Art Historian
Art Restorer
Artist
Astrologer
Astronomer
Auctioneer
Baggage Handler
Baker
Bank Clerk
Barber
Biochemist
Biologist
Blacksmith
Bodyguard
Booking Agent
Botanist
Bricklayer
Building Inspector
Bus Driver
Bus Mechanic
Business Consultant
Butcher
Cab Driver
Camera Operator
Car Valet
Car Wash Attendant
Carpenter
Carpet Cleaner
Cartographer
Cartoonist
Caterer
Chauffeur
Chef
Chemist
Chimney Sweep
Chiropractor
Choreographer
Classroom Aide
Clerk
Consultant
Coroner
Doctor
Economist
Editor
English Teacher
Entertainer
Farmer
Florist
Flower Arranger
Footballer
Forensic Scientist
Forest Ranger
Fork Lift Truck Driver
Foundry Worker
Fraud Investigator
Funeral Director
Furniture Dealer
Gamekeeper
Garage Attendant
Gardener
Geologist
Geophysicist
Glass Worker
Goldsmith
Golf Caddy
Graphic Designer
Gynaecologist
Hairdresser
Herbalist
Highway Inspector
Historian
History Teacher
Homeopath
Horse Breeder
Horticulturalist
Hospital Worker
Hotelier
Housekeeper
Housing Assistant
Housing Officer
Hygienist
Hypnotherapist
Hypnotist
IT Consultant
Illustrator
Immigration Officer
Industrial Chemist
Inspector
Instructor
Insurance Agent
Interior Decorator
Interpreter
Investment Banker
Janitor
Jeweller
Journalist
Judge
Laboratory Analyst
Landowner
Landworker
Law Clerk
Lawyer
Leather Worker
Lecturer
Legal Advisor
Librarian
Lifeguard
Lighthouse Keeper
Lighting Technician
Linguist
Lithographer
Loans Manager
Locksmith
Loss Assessor
Lumberjack
Machine Operator
Magician
Magistrate
Make Up Artist
Manicurist
Marble Mason
Marketing Agent
Marketing Director
Massage Therapist
Mathematician
Math Teacher
Mechanic
Medical Researcher
Medical Technician
Merchant
Messenger
Metal Worker
Metallurgist
Meteorologist
Microbiologist
Miller
Miner
Mineralologist
Mortgage Broker
Mortician
Music Teacher
Musician
Navigator
Negotiator
Neurologist
Nuclear Scientist
Nurse
Nutritionist
Opera Singer
Optician
Optometrist
Orthopaedic
Osteopath
Packer
Paediatrician
Painter
Paramedic
Park Ranger
Pastry Chef
Patent Attorney
Pathologist
Pawnbroker
Pharmacist
Photographer
Physician
Physicist
Physiologist
Physiotherapist
Piano Teacher
Piano Tuner
Picture Editor
Pilot
Pipe Layer
Plasterer
Plumber
Police Officer
Pool Attendant
Porter
Potter
Preacher
Press Operator
Presser
Printer
Prison Officer
Private Investigator
Probation Officer
Producer
Professional Boxer
Professional Wrestler
Project Manager
Politician
Psychiatrist
Psychoanalyst
Psychologist
Psychotherapist
Publisher
Purser
Radio Presenter
Radio Producer
Radiographer
Radiologist
Rally Driver
Receptionist
Recruitment Consultant
Rector
Reflexologist
Refractory Engineer
Refrigeration Engineer
Refuse Collector
Registrar
Relocation Agent
Remedial Therapist
Reporter
Research Director
Research Scientist
Researcher
Restaurant Manager
Restaurateur
Riveter
Road Worker
Roofer
Rug Maker
Saddler
Safety Officer
Scaffolder
School Inspector
Scientist
Scrap Dealer
Screen Writer
Script Writer
Sculptor
Secretary
Security Guard
Security Officer
Servant
Sheet Metal Worker
Shelter Warden
Shepherd
Sheriff
Shipping Officer
Shipwright
Social Worker
Software Engineer
Soldier
Solicitor
Song Writer
Speech Therapist
Stable Hand
Stage Manager
Station Manager
Statistician
Steel Worker
Stenographer
Stockbroker
Stonemason
Store Detective
Studio Manager
Supervisor
Surgeon
Surveyor
Tailor
Tanner
Tattoo Artist
Tax Advisor
Tax Analyst
Taxi Controller
Taxi Driver
Taxidermist
Teacher
Technician
Telegraphist
Telemarketeer
Tennis Coach
Thatcher
Therapist
Ticket Inspector
Timber Worker
Toll Collector
Tour Guide
Town Clerk
Town Planner
Tractor Mechanic
Train Conductor
Translator
Transport Planner
Travel Agent
Travel Guide
Treasurer
Tree Feller
Trout Farmer
Turkey Farmer
Tutor
Typist
Undertaker
Underwriter
Upholsterer
Valve Technician
Vehicle Engineer
Ventriloquist
Veterinary Surgeon
Video Artist
Violinist
Warden
Warehouse Manager
Watchmaker
Weaver
Welder
Welfare Officer
Window Cleaner
Wine Merchant
Wood Carver
Wood Cutter
Writer
Youth Worker
